SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DYNAMATECH,EQ,04-Apr-2018,1756.75,1756.55,1790.00,1755.05,1761.00,1764.85,1774.17,627,11.12,128,533,85.01
DYNPRO,EQ,04-Apr-2018,192.60,193.85,198.95,186.70,189.80,189.65,192.04,11187,21.48,276,7906,70.67
EASTSILK,EQ,04-Apr-2018,3.70,3.75,3.85,3.65,3.75,3.75,3.75,114653,4.29,47,95801,83.56
EASUNREYRL,EQ,04-Apr-2018,14.75,15.45,15.45,15.25,15.45,15.45,15.45,9145,1.41,31,7610,83.21
EBANK,EQ,04-Apr-2018,2257.51,2157.26,2260.00,2157.26,2260.00,2208.63,2208.63,2,0.04,2,1,50.00
ECEIND,EQ,04-Apr-2018,321.15,322.00,322.00,299.00,309.00,302.25,306.72,402,1.23,50,139,34.58
ECLERX,EQ,04-Apr-2018,1213.50,1213.50,1227.95,1205.00,1206.00,1208.15,1217.02,5428,66.06,842,3985,73.42
ECLFINANCE,N3,04-Apr-2018,1016.00,1022.99,1029.97,1022.99,1028.98,1028.98,1027.87,410,4.21,12,410,100.00
ECLFINANCE,N4,04-Apr-2018,1653.00,1660.00,1664.00,1660.00,1663.75,1663.75,1660.19,244,4.05,9,240,98.36
ECLFINANCE,N5,04-Apr-2018,1048.99,1047.50,1050.05,1047.01,1049.98,1050.00,1048.87,406,4.26,23,336,82.76
ECLFINANCE,ND,04-Apr-2018,1332.05,1342.05,1342.05,1342.05,1342.05,1342.05,1342.05,10,0.13,1,10,100.00
EDELWEISS,EQ,04-Apr-2018,253.55,253.60,258.70,243.15,247.00,245.25,252.15,2400545,6053.06,31119,1382200,57.58
EDL,BE,04-Apr-2018,31.35,32.50,32.90,32.25,32.90,32.65,32.80,19861,6.51,87,-,-
EDUCOMP,BZ,04-Apr-2018,4.70,4.80,4.90,4.70,4.70,4.70,4.81,73902,3.55,98,-,-
EHFLNCD,N5,04-Apr-2018,1068.75,1068.00,1068.00,1065.00,1065.00,1065.00,1066.13,8,0.09,2,8,100.00
EICHERMOT,EQ,04-Apr-2018,27990.00,28498.00,29250.00,28400.65,28900.00,28934.25,28947.06,86068,24914.15,31998,39029,45.35
EIDPARRY,EQ,04-Apr-2018,278.10,279.00,289.85,279.00,282.10,282.20,284.19,128072,363.97,2426,39963,31.20
EIFFL,SM,04-Apr-2018,143.75,135.00,140.80,135.00,140.80,140.80,138.09,7200,9.94,9,7200,100.00
EIHAHOTELS,EQ,04-Apr-2018,494.50,502.00,507.80,488.50,489.05,490.55,497.45,18281,90.94,956,8608,47.09
EIHOTEL,EQ,04-Apr-2018,160.90,162.40,168.90,161.00,162.00,161.90,164.95,136009,224.35,4099,49924,36.71
